"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Anthony Banda","Diamondbacks","1","3","0","4","4","19.2","8.69","3.66","0.46",".373","55.2 %","29.8 %","3.8 %","7.32","3.56","5.26","0.4","14706"
"Tyler Mahle","Reds","1","2","0","4","4","20.0","6.30","4.95","0.00",".302","82.4 %","52.5 %","0.0 %","2.70","4.01","5.79","0.4","16358"
"Buck Farmer","Tigers","5","5","0","11","11","48.0","9.19","3.75","1.69",".336","61.8 %","32.4 %","13.2 %","6.75","5.05","5.14","0.4","14814"
"Wei-Yin Chen","Marlins","2","1","0","5","5","27.0","6.67","3.00","1.00",".253","69.4 %","37.2 %","9.1 %","4.33","4.23","4.96","0.4","13071"
"Jaime Garcia","Yankees","0","3","0","8","8","37.1","8.92","4.82","1.45",".327","68.4 %","54.0 %","20.7 %","4.82","4.87","4.16","0.4","8137"
"Francis Martes","Astros","2","0","0","4","4","17.2","10.70","5.09","0.51",".333","74.2 %","41.9 %","8.3 %","4.08","3.55","4.03","0.4","17303"
"Lucas Giolito","White Sox","3","3","0","7","7","45.1","6.75","2.38","1.59",".189","92.0 %","45.0 %","17.8 %","2.38","4.94","4.42","0.3","15474"
"Bartolo Colon","Twins","5","6","0","15","15","80.0","5.29","1.69","1.91",".307","75.7 %","38.7 %","13.9 %","5.18","5.31","5.26","0.3","375"
"Jarred Cosart","Padres","0","2","0","6","6","23.1","5.79","6.17","0.00",".333","69.8 %","50.0 %","0.0 %","4.24","4.19","5.86","0.3","10304"
"Alec Asher","Orioles","1","4","0","6","6","29.2","6.67","2.73","1.52",".286","55.6 %","44.7 %","13.9 %","6.98","5.08","5.05","0.3","13560"
"Travis Wood","Royals","0","1","0","3","3","13.0","5.54","1.38","0.69",".420","53.1 %","49.0 %","6.7 %","8.31","3.39","4.44","0.3","9884"
"Daniel Wright","Angels","0","1","0","2","2","9.1","6.75","2.89","0.00",".333","69.2 %","30.8 %","0.0 %","1.93","2.94","4.47","0.3","15179"
"Steven Matz","Mets","2","7","0","13","13","66.2","6.48","2.57","1.62",".329","66.9 %","47.1 %","17.1 %","6.08","5.05","4.58","0.3","13361"
"Joe Musgrove","Astros","4","8","0","15","15","78.0","7.73","2.65","1.85",".338","67.6 %","42.6 %","18.6 %","6.12","5.07","4.36","0.3","12970"
"Mark Leiter","Phillies","3","5","0","11","11","60.2","8.16","2.23","2.08",".307","67.3 %","45.7 %","21.5 %","5.19","5.33","4.24","0.3","15551"
"Yusmeiro Petit","Angels","0","0","0","1","1","4.0","11.25","0.00","0.00",".300","66.7 %","30.0 %","0.0 %","0.00","0.66","2.88","0.3","4020"
"Ariel Miranda","Mariners","8","7","0","29","29","158.0","7.69","3.53","1.99",".235","74.7 %","31.4 %","14.7 %","4.90","5.60","5.40","0.3","17526"
"Jose Urena","Marlins","14","7","0","28","28","154.1","6.12","3.56","1.40",".242","77.5 %","43.2 %","13.6 %","3.97","5.28","5.29","0.3","11589"
"Jeff Locke","Marlins","0","5","0","7","7","32.0","7.31","4.22","1.13",".355","52.5 %","46.8 %","10.8 %","8.16","4.56","5.00","0.3","2929"
"A.J. Griffin","Rangers","6","6","0","15","15","72.0","7.25","3.38","2.25",".249","73.5 %","27.0 %","13.6 %","5.50","6.09","6.10","0.3","11132"
"Austin Pruitt","Rays","2","3","0","8","8","43.0","6.49","1.88","1.67",".256","77.9 %","46.2 %","15.7 %","4.19","4.90","4.59","0.2","15290"
"Bud Norris","Angels","0","1","0","3","3","8.1","7.56","3.24","0.00",".261","88.9 %","52.2 %","0.0 %","1.08","2.56","4.27","0.2","9492"
"Zack Wheeler","Mets","3","7","0","17","17","86.1","8.44","4.17","1.56",".332","73.1 %","47.5 %","19.5 %","5.21","5.03","4.36","0.2","10310"
"Tommy Milone","Brewers","1","0","0","3","3","14.0","6.43","0.64","1.93",".326","74.3 %","32.7 %","15.0 %","5.14","4.73","4.48","0.2","7608"
"Jaime Garcia","Twins","1","0","0","1","1","6.2","9.45","4.05","0.00",".421","72.7 %","47.4 %","0.0 %","4.05","2.41","3.74","0.2","8137"
"Brett Anderson","Cubs","2","2","0","6","6","22.0","6.55","4.91","0.82",".395","55.6 %","50.0 %","14.3 %","8.18","4.52","4.47","0.2","8223"
"Erasmo Ramirez","Rays","3","2","0","8","8","38.2","7.45","2.33","1.63",".328","61.4 %","41.6 %","14.6 %","6.05","4.71","4.56","0.2","10314"
"Dillon Peters","Marlins","1","2","0","6","6","31.1","7.76","5.46","0.86",".330","71.7 %","63.3 %","15.8 %","5.17","4.69","4.52","0.2","18790"
"Matt Strahm","Royals","1","2","0","3","3","11.2","8.49","1.54","1.54",".378","49.4 %","33.3 %","11.1 %","7.71","4.27","4.79","0.2","13799"
"Max Fried","Braves","1","1","0","4","4","18.1","7.85","2.95","0.98",".362","71.9 %","63.3 %","20.0 %","3.44","4.30","3.86","0.2","13743"
"Vince Velasquez","Phillies","2","7","0","15","15","72.0","8.50","4.25","1.88",".303","74.4 %","42.5 %","20.8 %","5.13","5.52","4.59","0.2","11189"
"Brian Johnson","Red Sox","2","0","0","5","5","27.0","7.00","2.67","1.67",".310","81.8 %","35.9 %","11.9 %","4.33","4.90","5.26","0.2","14272"
"Eric Skoglund","Royals","1","2","0","5","5","14.0","7.07","5.79","0.64",".462","55.2 %","36.5 %","5.6 %","9.64","4.44","5.80","0.2","16155"
"Hector Santiago","Twins","4","7","0","14","14","69.1","6.49","3.89","1.69",".266","71.9 %","30.3 %","11.7 %","5.45","5.67","6.08","0.2","4026"
"Sam Gaviglio","Royals","1","0","0","2","2","10.0","7.20","2.70","0.90",".323","88.2 %","56.3 %","12.5 %","2.70","4.06","4.18","0.2","12778"
"Jayson Aquino","Orioles","1","1","0","2","2","11.1","7.15","2.38","1.59",".257","71.4 %","43.2 %","12.5 %","3.97","4.66","4.87","0.2","13150"
"Deck McGuire","Reds","1","1","0","2","2","8.0","7.88","2.25","1.13",".269","46.5 %","25.9 %","5.9 %","4.50","3.78","5.94","0.2","11596"
"Ross Stripling","Dodgers","0","0","0","2","2","5.0","9.00","3.60","0.00",".167","100.0 %","50.0 %","0.0 %","0.00","2.36","3.78","0.2","13273"
"A.J. Cole","Nationals","3","5","0","8","8","44.1","8.32","4.87","1.42",".309","83.6 %","45.2 %","14.6 %","3.86","5.19","5.06","0.2","11467"
"Matt Shoemaker","Angels","6","3","0","14","14","77.2","8.00","3.24","1.74",".276","76.2 %","38.5 %","14.6 %","4.52","5.13","4.98","0.2","4776"
"Aaron Wilkerson","Brewers","1","0","0","2","2","9.1","4.82","0.96","0.96",".185","53.6 %","46.4 %","9.1 %","3.86","3.80","4.50","0.2","16904"
"Phil Hughes","Twins","4","3","0","9","9","47.0","5.74","2.11","1.91",".316","67.2 %","31.1 %","13.3 %","5.74","5.41","5.49","0.2","7450"
"Tyler Pill","Mets","0","2","0","3","3","16.1","7.71","3.31","1.10",".327","60.3 %","45.1 %","16.7 %","4.96","4.32","4.04","0.1","12751"
"Chris O'Grady","Marlins","2","1","0","6","6","26.1","8.89","5.13","1.37",".310","71.4 %","29.3 %","11.8 %","5.47","4.98","5.30","0.1","13818"
"Tom Koehler","Blue Jays","0","1","0","1","1","5.0","12.60","5.40","0.00",".333","88.9 %","33.3 %","0.0 %","1.80","3.36","5.49","0.1","6570"
"David Paulino","Astros","2","0","0","6","6","29.0","10.55","2.17","2.48",".354","69.2 %","30.1 %","19.0 %","6.52","5.12","4.11","0.1","17418"
"Marco Gonzales","Mariners","1","1","0","7","7","29.2","6.67","3.03","1.52",".402","70.0 %","44.9 %","15.2 %","6.67","4.98","4.77","0.1","15467"
"Brandon Finnegan","Reds","1","1","0","4","4","13.0","11.08","9.00","0.69",".276","77.7 %","53.3 %","12.5 %","4.15","4.70","4.79","0.1","16208"
"Tim Adleman","Reds","5","9","0","20","20","105.1","7.95","3.76","2.05",".292","72.4 %","35.5 %","17.8 %","5.47","5.75","5.07","0.1","10968"
"Cesar Valdez","Athletics","0","0","0","1","1","4.0","9.00","4.50","0.00",".417","57.1 %","41.7 %","0.0 %","6.75","2.66","3.55","0.1","9013"
"Bryan Mitchell","Yankees","0","0","0","1","1","5.0","3.60","3.60","0.00",".316","75.0 %","57.9 %","0.0 %","1.80","3.56","5.34","0.1","11479"
"Clay Buchholz","Phillies","0","1","0","2","2","7.1","6.14","3.68","1.23",".484","51.1 %","28.1 %","6.7 %","12.27","4.79","6.66","0.1","3543"
"Julio Urias","Dodgers","0","2","0","5","5","23.1","4.24","5.40","0.39",".293","62.8 %","40.3 %","4.3 %","5.40","4.70","5.90","0.1","14765"
"Matt Grace","Nationals","0","0","0","1","1","4.1","2.08","2.08","0.00",".154","100.0 %","54.5 %","0.0 %","0.00","3.39","4.62","0.1","11449"
"Dillon Overton","Mariners","0","0","0","1","1","3.1","5.40","2.70","0.00",".333","60.0 %","45.5 %","0.0 %","2.70","2.86","4.46","0.1","15627"
"Asher Wojciechowski","Reds","2","3","0","8","8","35.1","9.42","1.78","2.80",".377","57.9 %","27.9 %","19.6 %","8.41","6.04","4.82","0.1","10836"
"Ryan Weber","Mariners","0","0","0","1","1","3.2","0.00","0.00","0.00",".214","66.7 %","50.0 %","0.0 %","2.45","3.16","5.58","0.1","10160"
"Steven Brault","Pirates","1","0","0","4","4","18.0","6.50","4.00","1.50",".286","79.8 %","43.1 %","12.5 %","4.50","5.38","5.58","0.1","15291"
"Chad Green","Yankees","0","0","0","1","1","2.0","13.50","4.50","0.00",".400","33.3 %","0.0 %","0.0 %","9.00","1.66","4.33","0.1","15552"
"Jeremy Jeffress","Brewers","0","0","0","1","1","2.0","0.00","0.00","0.00",".400","50.0 %","60.0 %","0.0 %","9.00","3.16","5.83","0.1","9490"
"Kyle Kendrick","Red Sox","0","2","0","2","2","8.1","3.24","3.24","1.08",".447","45.9 %","44.7 %","9.1 %","12.96","5.08","5.87","0.1","6230"
"Adam Conley","Marlins","7","7","0","20","20","100.2","6.35","3.75","1.61",".297","64.8 %","39.9 %","13.5 %","6.17","5.53","5.56","0.1","14457"
"Jake Odorizzi","Rays","10","8","0","28","28","143.1","7.97","3.83","1.88",".227","72.5 %","30.6 %","15.5 %","4.14","5.43","5.10","0.1","6397"
"Caleb Smith","Yankees","0","0","0","2","2","7.0","7.71","5.14","1.29",".318","56.6 %","21.7 %","10.0 %","7.71","5.01","5.70","0.1","14875"
"Tyler Danish","White Sox","1","0","0","1","1","5.0","10.80","10.80","0.00",".273","100.0 %","36.4 %","0.0 %","0.00","4.36","5.78","0.1","15126"
"Wily Peralta","Brewers","4","2","0","8","8","40.0","7.20","3.83","1.80",".311","67.6 %","44.0 %","17.0 %","6.08","5.51","5.00","0.1","7738"
"Carson Fulmer","White Sox","2","1","0","5","5","18.2","7.71","5.30","1.45",".216","78.0 %","33.3 %","12.0 %","4.34","5.46","5.75","0.1","18311"
"Zach Lee","Padres","1","0","0","1","1","5.1","5.06","6.75","0.00",".133","100.0 %","33.3 %","0.0 %","0.00","4.28","7.28","0.0","11468"
"Matt Wisler","Braves","0","1","0","1","1","6.0","10.50","4.50","1.50",".313","65.8 %","18.8 %","12.5 %","6.00","4.49","4.70","0.0","12804"
"Ian Kennedy","Royals","5","13","0","30","30","154.0","7.66","3.56","1.99",".257","68.2 %","36.0 %","15.7 %","5.38","5.61","5.25","0.0","6986"
"Tyler Wilson","Orioles","1","0","0","1","1","6.0","1.50","0.00","1.50",".238","65.2 %","42.9 %","12.5 %","4.50","4.99","5.20","0.0","12691"
"Aaron Slegers","Twins","0","1","0","3","3","14.2","5.52","3.07","1.84",".171","46.3 %","46.5 %","18.8 %","5.52","5.61","4.89","0.0","15231"
"Bartolo Colon","Braves","2","8","0","13","13","63.0","6.00","2.86","1.57",".360","48.2 %","45.6 %","14.3 %","8.14","5.09","5.00","0.0","375"
"Cesar Valdez","Blue Jays","1","1","0","3","3","11.1","5.56","3.18","1.59",".390","41.7 %","48.8 %","25.0 %","10.32","5.28","4.24","0.0","9013"
"Artie Lewicki","Tigers","0","1","0","1","1","5.0","1.80","1.80","1.80",".435","66.0 %","37.5 %","10.0 %","9.00","5.96","6.92","0.0","16731"
"Jake Thompson","Phillies","3","2","0","8","8","41.1","6.97","3.92","1.74",".295","80.7 %","48.1 %","17.0 %","3.27","5.79","5.30","0.0","14371"
"Edwin Jackson","Nationals","5","6","0","13","13","71.0","7.35","3.17","2.28",".273","72.2 %","38.0 %","17.5 %","5.07","5.88","5.16","0.0","1841"
"Justin Nicolino","Marlins","2","2","0","8","8","32.2","5.23","3.58","1.38",".353","68.5 %","46.3 %","16.7 %","5.23","5.27","4.91","0.0","11754"
"Jacob Turner","Nationals","0","1","0","2","2","11.1","5.56","3.18","1.59",".265","75.8 %","51.4 %","18.2 %","4.76","5.54","4.97","0.0","10185"
"Mike Bolsinger","Blue Jays","0","2","0","5","5","25.2","7.36","6.66","1.05",".312","69.2 %","55.0 %","12.0 %","5.61","5.61","5.83","0.0","11137"
"Mike Fiers","Astros","8","10","0","28","28","152.1","8.63","3.60","1.89",".297","73.8 %","42.8 %","19.5 %","5.14","5.43","4.61","0.0","7754"
"Tyson Ross","Rangers","3","3","0","10","10","46.0","6.85","6.85","1.17",".290","59.8 %","44.7 %","12.0 %","7.04","6.01","6.24","0.0","7872"
"Dayan Diaz","Astros","0","1","0","1","1","2.2","10.13","0.00","3.38",".375","38.5 %","44.4 %","33.3 %","10.13","5.78","2.91","0.0","11543"
"Jordan Lyles","Padres","1","3","0","5","5","23.0","8.61","3.91","1.96",".395","55.3 %","45.0 %","16.7 %","9.39","5.38","4.87","0.0","7593"
"Miguel Castro","Orioles","0","1","0","1","1","3.1","8.10","2.70","2.70",".417","71.4 %","53.8 %","25.0 %","8.10","6.16","4.39","0.0","15684"
"Onelki Garcia","Royals","0","1","0","1","1","0.1","0.00","27.00","0.00",".800","20.0 %","40.0 %","0.0 %","108.00","12.16","22.83","0.0","13674"
"Chris Rowley","Blue Jays","1","1","0","3","3","13.2","4.61","5.93","1.32",".261","79.2 %","40.4 %","10.0 %","4.61","6.01","6.71","0.0","18820"
"John Gant","Cardinals","0","1","0","2","2","8.0","3.38","5.63","1.13",".333","75.3 %","60.7 %","11.1 %","5.63","6.28","6.66","0.0","13684"
"Jack Flaherty","Cardinals","0","2","0","5","5","20.1","8.85","4.43","1.77",".339","66.9 %","48.3 %","21.1 %","6.64","5.37","4.48","0.0","17479"
"Drew VerHagen","Tigers","0","1","0","2","2","8.2","4.15","3.12","2.08",".344","60.6 %","35.3 %","16.7 %","8.31","6.27","5.74","0.0","13424"
"Braden Shipley","Diamondbacks","0","1","0","3","3","12.1","5.11","8.03","0.73",".333","62.5 %","46.7 %","5.3 %","7.30","5.75","7.44","0.0","15158"
"Paolo Espino","Brewers","0","0","0","2","2","8.0","6.75","2.25","2.25",".296","68.6 %","44.4 %","22.2 %","5.63","6.03","4.78","0.0","8246"
"T.J. McFarland","Diamondbacks","0","1","0","1","1","0.1","0.00","54.00","0.00",".833","0.0 %","16.7 %","0.0 %","189.00","21.16","26.49","-0.1","3237"
"Kyle Lloyd","Padres","0","0","0","1","1","4.0","4.50","4.50","2.25",".333","60.6 %","31.3 %","25.0 %","9.00","6.91","5.44","-0.1","15378"
"Aaron Sanchez","Blue Jays","1","3","0","8","8","36.0","6.00","5.00","1.50",".310","71.4 %","47.5 %","17.1 %","4.25","5.74","5.30","-0.1","11490"
"Jharel Cotton","Athletics","9","10","0","24","24","129.0","7.33","3.70","1.95",".279","65.7 %","37.0 %","15.3 %","5.58","5.68","5.38","-0.1","13654"
"Chase De Jong","Mariners","0","2","0","4","4","19.2","4.12","3.66","1.83",".324","61.2 %","31.1 %","12.5 %","7.78","6.11","6.36","-0.1","15036"
"Henderson Alvarez","Phillies","0","1","0","3","3","14.2","3.68","6.75","1.23",".250","81.1 %","46.0 %","11.8 %","4.30","6.36","6.65","-0.1","5669"
"Dillon Gee","Twins","1","2","0","3","3","12.2","7.82","2.84","2.84",".297","67.2 %","37.5 %","20.0 %","7.11","6.47","5.18","-0.1","7396"
"Casey Lawrence","Blue Jays","0","2","0","2","2","11.1","3.97","4.76","1.59",".356","61.3 %","57.4 %","18.2 %","7.94","6.16","5.59","-0.1","11121"
"Vance Worley","Marlins","2","5","0","12","12","52.1","5.33","3.78","1.38",".349","61.3 %","47.5 %","15.7 %","7.39","5.51","5.25","-0.1","6435"
"Tim Melville","Twins","0","1","0","1","1","3.1","10.80","8.10","2.70",".333","45.5 %","50.0 %","33.3 %","13.50","8.26","5.96","-0.1","9149"
"Luis Cessa","Yankees","0","3","0","5","5","21.2","8.31","4.57","2.08",".279","69.0 %","48.5 %","21.7 %","5.82","6.25","5.14","-0.1","13345"
"Luke Farrell","Royals","0","0","0","1","1","2.2","6.75","10.13","3.38",".500","58.1 %","33.3 %","14.3 %","16.88","9.91","9.70","-0.1","15101"
"Adam Wilk","Twins","0","1","0","1","1","3.1","5.40","8.10","2.70",".467","52.1 %","46.7 %","16.7 %","16.20","8.56","7.86","-0.1","8421"
"Dietrich Enns","Twins","0","0","0","1","1","2.1","0.00","3.86","3.86",".333","87.0 %","46.2 %","20.0 %","3.86","10.01","8.26","-0.1","13932"
"Jeremy Guthrie","Nationals","0","1","0","1","1","0.2","0.00","54.00","0.00",".750","0.0 %","25.0 %","0.0 %","135.00","21.16","29.16","-0.1","2072"
"Miguel Diaz","Padres","0","0","0","3","3","7.2","8.22","5.87","2.35",".238","87.0 %","45.5 %","25.0 %","4.70","6.68","5.14","-0.1","18815"
"Yovani Gallardo","Mariners","4","10","0","22","22","114.2","6.59","4.16","1.88",".297","68.5 %","42.5 %","17.5 %","6.28","5.85","5.26","-0.1","8173"
"Hector Velazquez","Red Sox","0","1","0","3","3","14.1","6.91","2.51","2.51",".317","84.4 %","35.6 %","23.5 %","5.02","6.09","4.57","-0.1","19341"
"Nick Tepesch","Twins","0","1","0","1","1","1.2","10.80","10.80","5.40",".500","0.0 %","55.6 %","33.3 %","5.40","12.16","7.56","-0.1","11716"
"Rob Whalen","Mariners","0","1","0","1","1","5.1","0.00","3.38","1.69",".300","62.5 %","47.6 %","20.0 %","8.44","7.85","7.08","-0.1","14165"
"Lucas Sims","Braves","3","6","0","10","10","51.1","6.84","3.68","1.58",".316","70.0 %","37.7 %","14.8 %","5.79","5.38","5.21","-0.1","13470"
"Andrew Moore","Mariners","1","5","0","9","9","51.1","4.03","1.05","2.28",".238","69.4 %","27.8 %","14.3 %","5.26","5.96","5.82","-0.1","17553"
"Alex Claudio","Rangers","0","0","0","1","1","4.0","2.25","0.00","4.50",".154","83.3 %","53.3 %","66.7 %","6.75","9.16","3.99","-0.1","12890"
"Raul Alcantara","Athletics","1","2","0","4","4","15.0","6.00","4.20","1.80",".222","53.6 %","55.3 %","25.0 %","7.20","6.02","4.85","-0.1","12790"
"Chad Bell","Tigers","0","2","0","4","4","15.1","8.80","5.28","2.35",".451","66.9 %","45.5 %","21.1 %","9.39","6.55","5.36","-0.1","10297"
"Jackson Stephens","Reds","1","1","0","4","4","18.2","8.68","3.38","2.89",".234","70.5 %","36.5 %","26.1 %","6.27","6.53","4.55","-0.1","14420"
"Jen-Ho Tseng","Cubs","0","0","0","1","1","3.0","18.00","3.00","6.00",".429","47.6 %","44.4 %","66.7 %","15.00","9.82","2.94","-0.1","15524"
"Chris Heston","Mariners","0","1","0","1","1","3.0","6.00","12.00","3.00",".462","41.7 %","35.7 %","25.0 %","18.00","10.16","8.20","-0.1","10302"
"Brock Stewart","Dodgers","0","0","0","4","4","13.2","6.59","7.90","1.32",".279","56.0 %","39.5 %","10.5 %","5.27","6.23","6.80","-0.1","16727"
"Miguel Gonzalez","Rangers","1","3","0","5","5","22.1","6.04","3.22","2.42",".246","67.8 %","29.6 %","15.8 %","6.45","6.65","6.18","-0.2","7024"
"Daniel Gossett","Athletics","4","11","0","18","18","91.1","7.09","3.05","2.07",".328","68.0 %","43.1 %","21.2 %","6.11","5.59","4.53","-0.2","16164"
"Aaron Blair","Braves","0","1","0","1","1","3.0","9.00","15.00","3.00",".400","58.1 %","50.0 %","25.0 %","15.00","10.49","8.53","-0.2","14934"
"Nik Turley","Twins","0","2","0","3","3","9.1","6.75","3.86","2.89",".513","46.2 %","46.3 %","30.0 %","16.39","7.44","5.17","-0.2","5530"
"Chris Volstad","White Sox","0","2","0","2","2","11.0","4.09","4.09","2.45",".182","51.0 %","61.1 %","30.0 %","7.36","7.16","5.23","-0.2","9901"
"Dillon Overton","Padres","0","1","0","1","1","4.2","5.79","3.86","3.86",".438","87.0 %","44.4 %","33.3 %","7.71","9.37","6.09","-0.2","15627"
"James Shields","White Sox","5","7","0","21","21","117.0","7.92","4.08","2.08",".270","74.5 %","38.2 %","17.4 %","5.23","5.83","5.19","-0.2","7059"
"Christian Bergman","Mariners","4","4","0","8","8","42.2","5.91","2.74","2.32",".313","75.1 %","35.5 %","19.0 %","5.70","6.18","5.25","-0.2","10925"
"Jeremy Hellickson","Orioles","2","6","0","10","10","51.2","5.40","2.96","2.26",".225","50.2 %","34.5 %","16.5 %","6.97","6.33","5.78","-0.2","4371"
"Myles Jaye","Tigers","0","2","0","2","2","5.1","5.06","6.75","3.38",".400","28.2 %","46.2 %","33.3 %","20.25","9.72","6.85","-0.2","11769"
"Zach Eflin","Phillies","1","5","0","11","11","64.1","4.90","1.68","2.24",".297","69.3 %","44.1 %","18.8 %","6.16","6.10","5.21","-0.2","13774"
"Hisashi Iwakuma","Mariners","0","2","0","6","6","31.0","4.65","3.48","2.03",".220","80.1 %","40.8 %","16.7 %","4.35","6.42","5.89","-0.2","13048"
"Rookie Davis","Reds","1","3","0","6","6","22.0","7.36","5.32","2.45",".378","63.1 %","42.1 %","21.4 %","8.59","6.98","5.69","-0.2","14962"
"Chris Young","Royals","0","0","0","2","2","6.2","6.75","6.75","4.05",".435","65.2 %","38.5 %","33.3 %","12.15","9.76","6.31","-0.2","3196"
"Marco Gonzales","Cardinals","0","0","0","1","1","3.1","5.40","0.00","8.10",".273","55.6 %","50.0 %","50.0 %","13.50","13.66","5.16","-0.2","15467"
"Erick Fedde","Nationals","0","1","0","3","3","15.1","8.80","4.70","2.93",".426","66.7 %","61.7 %","50.0 %","9.39","7.20","4.12","-0.2","17425"
"Cody Reed","Reds","0","1","0","1","1","2.0","13.50","22.50","9.00",".400","32.3 %","42.9 %","100.0 %","31.50","20.66","9.44","-0.3","15232"
"Tommy Milone","Mets","0","3","0","5","5","21.0","9.43","3.86","3.00",".359","58.2 %","37.7 %","31.8 %","8.57","6.68","4.21","-0.3","7608"
"Adam Wilk","Mets","0","1","0","1","1","3.2","4.91","2.45","7.36",".357","62.5 %","31.3 %","50.0 %","12.27","13.52","5.80","-0.3","8421"
"Jesse Chavez","Angels","5","9","0","21","21","113.1","6.83","3.18","1.91",".289","74.0 %","39.9 %","17.8 %","5.24","5.50","4.87","-0.3","5448"
"Austin Bibens-Dirkx","Rangers","2","1","0","6","6","34.1","3.93","2.36","2.62",".206","85.7 %","41.9 %","21.7 %","4.72","6.94","5.54","-0.3","9559"
"Dillon Gee","Rangers","0","0","0","1","1","3.1","5.40","10.80","8.10",".417","100.0 %","20.0 %","37.5 %","10.80","17.26","9.83","-0.3","7396"
"Troy Scribner","Angels","1","1","0","4","4","16.2","8.10","3.78","3.24",".125","77.6 %","26.1 %","20.7 %","4.32","7.66","6.07","-0.3","15570"
"Felix Jorge","Twins","1","0","0","2","2","7.2","4.70","2.35","4.70",".385","67.3 %","26.7 %","26.7 %","10.57","9.68","6.38","-0.3","14532"
"Lisalverto Bonilla","Reds","0","3","0","4","4","20.2","4.35","5.66","2.18",".269","63.3 %","47.0 %","22.7 %","7.84","7.37","6.12","-0.3","11266"
"Mat Latos","Blue Jays","0","1","0","3","3","15.0","6.00","4.80","3.00",".304","81.0 %","44.0 %","23.8 %","6.60","7.96","6.11","-0.3","3815"
"Sam Gaviglio","Mariners","3","5","0","11","11","60.1","5.37","3.13","2.09",".264","74.5 %","48.4 %","21.9 %","4.62","6.12","4.99","-0.3","12778"
"Tyler Glasnow","Pirates","2","7","0","13","13","57.0","8.37","5.53","2.05",".369","59.3 %","42.9 %","19.1 %","7.89","6.21","5.37","-0.4","14374"
"David Holmberg","White Sox","1","3","0","7","7","28.2","5.65","5.34","2.20",".258","66.3 %","44.2 %","18.4 %","5.34","7.06","6.25","-0.4","7725"
"Nick Tepesch","Blue Jays","1","1","0","3","3","14.0","4.50","4.50","3.21",".267","95.0 %","33.3 %","21.7 %","5.14","8.94","7.22","-0.4","11716"
"Trevor Cahill","Royals","0","0","0","3","3","11.0","4.91","7.36","3.27",".359","79.4 %","50.0 %","30.8 %","8.18","9.25","6.62","-0.4","6249"
"Ubaldo Jimenez","Orioles","6","11","0","25","25","125.0","8.50","3.89","2.30",".333","66.6 %","42.4 %","22.1 %","7.20","6.01","4.75","-0.4","3374"
"Michael Blazek","Brewers","0","1","0","1","1","2.1","15.43","3.86","23.14",".250","100.0 %","0.0 %","66.7 %","30.86","34.44","7.88","-0.5","9654"
"Steven Wright","Red Sox","1","3","0","5","5","24.0","4.88","1.88","3.38",".365","66.9 %","41.5 %","27.3 %","8.25","7.82","5.40","-0.5","8185"
"Bronson Arroyo","Reds","3","6","0","14","14","71.0","5.70","2.41","2.92",".305","67.6 %","30.4 %","19.0 %","7.35","6.99","5.81","-0.7","978"
"Junior Guerra","Brewers","1","4","0","14","14","64.0","7.73","5.77","2.25",".241","76.9 %","33.2 %","19.8 %","5.20","6.80","5.80","-0.7","5702"
"Matt Harvey","Mets","5","7","0","18","18","88.2","6.60","4.57","1.93",".312","69.0 %","42.4 %","19.4 %","6.70","6.20","5.38","-0.7","11713"
"Chris Flexen","Mets","3","5","0","9","9","41.2","6.05","6.26","2.16",".331","67.1 %","39.9 %","18.9 %","7.78","7.17","6.31","-0.7","13896"
"Andrew Heaney","Angels","1","2","0","5","5","21.2","11.22","3.74","4.98",".283","99.0 %","30.2 %","40.0 %","7.06","9.11","4.37","-0.8","15423"
"Travis Wood","Padres","3","4","0","11","11","52.1","6.19","4.30","2.58",".287","65.7 %","30.2 %","18.1 %","6.71","7.00","6.09","-0.8","9884"
"Chris Smith","Athletics","0","4","0","9","9","46.2","5.21","3.47","2.89",".238","62.5 %","35.4 %","20.0 %","6.94","7.40","6.08","-0.8","4544"
"Tom Koehler","Marlins","1","5","0","12","12","55.2","7.11","4.69","2.43",".313","63.8 %","38.1 %","21.7 %","7.92","6.91","5.61","-0.8","6570"
"Dylan Covey","White Sox","0","7","0","12","12","58.2","5.22","4.14","2.45",".293","63.5 %","47.0 %","22.5 %","7.67","6.98","5.58","-0.8","14825"
"Derek Holland","White Sox","7","14","0","26","26","133.2","6.87","4.92","2.02",".304","68.8 %","37.9 %","17.2 %","5.99","6.37","5.76","-0.8","4141"
"Mike Pelfrey","White Sox","3","12","0","21","21","100.1","5.74","4.93","1.97",".275","68.0 %","49.4 %","19.5 %","6.01","6.59","5.74","-0.9","5203"
"Chris Tillman","Orioles","1","7","0","19","19","85.1","6.12","5.06","2.43",".339","63.3 %","39.2 %","20.5 %","8.12","7.06","5.89","-1.0","5279"
"Jered Weaver","Padres","0","5","0","9","9","42.1","4.89","2.55","3.40",".257","58.3 %","40.7 %","28.6 %","7.44","8.12","5.56","-1.0","4235"
"Amir Garrett","Reds","3","8","0","14","14","67.1","8.15","4.81","3.07",".255","66.0 %","42.4 %","28.8 %","7.49","7.48","5.15","-1.1","14375"
